IID	PGS004784	PGS002764	PGS004783	PGS002334	PGS002700	PGS002455	PGS002504	PGS000936	PGS002651	PGS002406	PGS002553	PGS002602
656548507700	0.0329512	-0.515777	-0.22537	-0.057757	0.0408244	-43.4304	-165.068	1.04143	0.205363	-6.74917	0.128012	0.00522285
661800745100	0.163823	-0.217796	-0.102937	-0.041958	0.0374764	-45.9163	-178.395	0.85151	0.0366732	-9.48384	0.180299	0.109375
593640570200	0.307664	-0.410938	-0.0235473	-0.00661669	0.0831314	-44.5184	-169.596	1.17431	0.163187	-9.27191	0.628768	0.615839
628467350300	0.402836	-0.766753	-0.135714	-0.0254074	0.0333774	-44.796	-174.955	0.592618	0.157839	-8.79671	0.631558	0.757642
605496760800	0.176021	-0.414247	-0.140393	-0.027398	0.0285754	-44.5056	-173.593	1.07529	0.250664	-8.30453	0.747842	0.706805
582299577600	0.538888	-0.32102	0.128605	0.00815929	0.0962214	-46.442	-172.586	0.898203	0.141206	-8.49332	0.383882	0.54929
574575370100	0.0812151	-0.206074	-0.159591	-0.064704	0.0606864	-43.6975	-153.031	0.781862	0.1193	-9.13561	0.280725	0.387716
631408270400	0.00976714	-0.0640325	-0.146439	-0.0439494	-0.00857455	-46.6767	-173.75	0.579414	0.00464486	-9.71528	0.448598	0.405047
663226643900	0.102814	-0.311989	-0.116091	-0.0633516	-0.000532552	-44.8637	-172.702	1.44237	0.186075	-8.2521	0.547831	0.562705
988386027100	0.256108	-0.0933559	-0.127263	-0.0552965	0.0225544	-46.5001	-175.316	0.663649	0.180486	-8.92825	1.30208	1.20783
701676280300	0.0752631	-0.124975	-0.0848616	-0.0203187	0.0563344	-42.829	-162.511	0.486364	-0.029886	-8.84162	0.464849	0.498506
978285748000	0.145502	-0.224423	-0.272038	-0.0478255	0.0387824	-44.6993	-168.738	1.2489	0.00512095	-9.44379	0.110906	0.0643265
973706079300	0.435568	0.196098	-0.0394634	-0.0572982	0.0352014	-43.9969	-164.718	0.993222	0.0735876	-8.93115	0.510016	0.392782
