IID	PGS004490	PGS004495	PGS004560	PGS004565	PGS004809	PGS004810	PGS002768	PGS002095	PGS001274	PGS001273	PGS001883
656548507700	0.0425279	0.192849	0.00165672	0.0098135	0.13324	0.0894338	-0.734087	0.000292799	0.229276	0.096946	-0.107944
661800745100	-0.0711223	0.187924	0.00809925	0.02036	0.158582	0.0978992	-0.887992	0.000551139	-0.00810342	0.0715296	-0.210817
593640570200	0.0956372	0.279456	-0.00339751	0.000910183	0.0877851	-0.257746	-1.34104	0.00468734	0.126964	0.0780236	-0.0823971
628467350300	-0.170735	0.00304691	-0.00579789	0.000743647	0.238203	0.269259	-0.597185	0.00228293	0.411546	0.205403	-0.0613956
605496760800	-0.0104846	0.236577	0.00407546	0.0157159	0.227173	0.185276	-0.768864	0.00602161	0.0590016	-0.0690658	-0.0784043
582299577600	0.149819	0.194744	0.000357667	0.00282968	0.0615898	-0.11065	-1.36193	0.0033947	-0.0185349	-0.0634889	-0.105692
574575370100	-0.0431829	0.0346677	0.00332377	0.00866221	0.218784	0.10478	-0.724602	0.00504187	0.151096	0.0499748	0.0488629
631408270400	0.221816	0.390481	0.0228181	0.0358838	0.206781	0.130583	-0.809174	0.00672873	0.192486	0.130394	-0.192622
663226643900	0.207956	0.410469	0.000419743	0.00889886	0.0722127	-0.116685	-1.29713	0.00367786	0.0648648	0.105779	-0.106808
988386027100	0.179357	0.20273	0.0112003	0.0159358	0.261334	0.260723	-0.543677	0.00676126	-0.282782	-0.0932803	0.0506189
701676280300	0.0742267	0.13165	0.0102445	0.01534	0.182645	0.167029	-0.440573	0.00102933	-0.055322	0.00841069	-0.0804516
978285748000	0.088242	0.127519	-0.00582511	-0.00627279	0.0613484	-0.182376	-1.56335	0.00159304	0.252104	0.172108	-0.193225
973706079300	-0.056903	0.184842	-0.00897784	-0.00135068	0.0641561	-0.0692339	-1.1517	0.00223028	0.124734	0.0779466	-0.179315
929512764900	-0.0550263	-0.0316482	-0.0113122	-0.0119563	-0.0508475	-0.39315	-1.97547	0.0039237	0.00306846	0.158287	-0.109874
911004922800	0.0413095	0.19827	0.00176488	0.00739275	0.241938	0.171125	-0.756606	0.00477249	0.402543	0.266002	-0.0780416
