IID	PGS000903	PGS000902	PGS004924	PGS000750	PGS003763	PGS000211	PGS000056	PGS000123	PGS001774	PGS000777	PGS001353
656548507700	-4.1151	0.0942094	0.0942094	-0.730541	-0.701908	-1.0892	1.77787	0.439	-0.330168	0.0	0.484
661800745100	-3.4449	0.246909	0.246909	-1.11311	-1.15658	-0.715916	1.58955	-0.324	0.339344	0.0	0.914
593640570200	-3.5113	0.340109	0.340109	-0.57646	-0.569548	-0.520907	2.18875	0.488	-0.298654	1.50283	0.407
628467350300	-2.8106	0.457109	0.457109	-0.418674	-0.324893	0.274108	2.55093	0.919	0.116119	0.0	0.891
605496760800	-1.1854	1.68541	1.68541	-0.219819	-0.239209	0.389151	2.28505	0.42	0.703683	0.0	1.206
582299577600	-3.5136	0.616909	0.616909	-0.380515	-0.297154	-0.659076	2.51449	0.519	0.414854	0.751416	0.891
574575370100	-3.9409	0.447109	0.447109	-0.364226	-0.344222	-0.550154	2.30312	0.726	0.0153693	0.751416	0.292
631408270400	-2.7695	-0.0712906	-0.0712906	-1.0393	-1.00446	-1.10461	1.99388	0.497	-0.917732	0.0	0.192
663226643900	-2.996	0.664409	0.664409	-0.752503	-0.864308	-0.606345	1.78975	0.053	0.0468836	0.751416	0.384
988386027100	-2.8652	1.29031	1.29031	-0.0997667	-0.0821646	-0.421017	2.38934	0.644	-0.279734	0.751416	0.699
701676280300	-2.5144	1.23081	1.23081	-0.345078	-0.327151	0.0605834	2.43671	0.472	0.32396	0.0	1.206
978285748000	-2.0152	0.731309	0.731309	-0.394141	-0.370336	-0.139103	1.90065	0.303	0.30504	0.0	0.722
973706079300	-4.0918	0.516409	0.516409	-1.06486	-1.06978	-0.795194	2.04449	0.131	-0.0629313	0.0	0.192
929512764900	-2.5756	0.471609	0.471609	-0.426624	-0.359122	-0.0536301	2.29978	0.303	-0.568681	0.0	0.484
911004922800	-3.8055	0.768709	0.768709	-0.603125	-0.58654	-0.229653	2.39412	0.795	0.496685	0.751416	0.814
900501422400	-4.0978	0.953709	0.953709	0.0156172	0.0903508	0.149229	2.46615	1.016	0.351842	0.0	0.699
869536460000	-1.7617	0.887909	0.887909	-0.613019	-0.585602	-0.564765	2.10621	0.512	0.528183	0.0	1.106
847281269600	-2.5116	0.910409	0.910409	-0.327828	-0.332191	-0.647751	2.35566	0.583	-0.332958	0.751416	0.599
793580741600	-2.461	0.343409	0.343409	-0.795244	-0.870307	-0.813385	1.89233	0.224	-0.260917	0.751416	0.622
786292356900	-1.8861	0.507809	0.507809	-1.1343	-1.16066	-1.19911	1.91494	0.159	0.703699	0.751416	0.814
746665517800	-4.0378	0.154409	0.154409	-0.857244	-0.840695	-0.775317	1.77304	-0.089	-0.568681	0.751416	0.215
745830913300	-3.3911	0.377809	0.377809	-0.958868	-0.955307	-1.2533	1.82111	0.009	0.669497	0.0	0.991
738391853400	-2.0738	1.05221	1.05221	-0.0923625	-0.0450795	0.421501	2.45156	0.695	1.00522	0.751416	0.914
992683200600	-1.2989	0.973609	0.973609	-0.40888	-0.362046	-0.146068	2.28859	0.488	0.430224	0.751416	0.991
718598321600	-5.0199	0.281809	0.281809	-1.48457	-1.55634	-1.43281	1.44138	-0.414	-1.02755	0.751416	0.215
702863005800	-3.1566	0.939809	0.939809	-0.342066	-0.258111	-0.0590058	2.38056	0.532	0.0973021	0.751416	0.968
691740558100	-4.131	0.133509	0.133509	-1.12096	-1.08982	-0.853526	1.78611	0.359	0.684882	1.50283	0.699
729682550000	-1.1929	0.896109	0.896109	-0.149477	-0.114954	0.0657928	2.10544	0.378	0.499475	0.751416	0.914
515185656000	-4.2534	-0.183691	-0.183691	-0.995666	-0.936497	-1.1947	1.67058	-0.318	-0.191645	0.751416	0.776
572218919600	-5.694	0.247709	0.247709	-1.07034	-1.10655	-1.2104	2.02212	0.293	-0.232209	0.751416	0.814
279169683100	-3.2013	-0.0322906	-0.0322906	-0.875496	-0.940414	-0.570824	1.60313	-0.242	0.144083	0.0	0.215
273850536200	-2.2685	1.14641	1.14641	0.0371359	0.084884	0.122279	2.59841	1.182	0.515604	1.50283	1.106
573280595700	-5.04	0.676709	0.676709	-0.837075	-0.874629	-0.389488	1.84672	-0.029	-0.30146	0.751416	0.507
241967798400	-2.344	0.292609	0.292609	-0.589011	-0.558939	-0.611767	2.09293	0.489	0.495961	1.50283	0.676
233105717400	-4.7548	0.286509	0.286509	-0.738243	-0.751089	-0.475777	2.10009	0.173	0.190966	0.751416	0.407
189195385000	-3.3773	0.192609	0.192609	-0.83824	-0.885093	-0.442282	2.00427	0.006	0.311381	0.751416	1.206
169613726100	-2.0559	0.523809	0.523809	-0.633417	-0.678987	-0.540311	1.84438	0.165	0.191711	0.751416	0.507
155523926500	-1.3127	0.240309	0.240309	-0.62036	-0.56228	-0.301167	1.99475	0.272	-0.0468175	0.0	0.991
153221440000	-2.0856	1.21781	1.21781	0.0567176	0.12656	0.178634	2.78374	1.189	0.405066	0.751416	1.183
135671427500	-2.3938	0.369109	0.369109	-0.749869	-0.755561	-0.252475	1.99036	0.321	0.258156	0.751416	0.914
109483907600	-2.0137	1.15341	1.15341	-0.651852	-0.656001	-0.354661	2.31762	0.359	0.191711	0.0	0.699
104640564300	-2.0997	0.605209	0.605209	-0.497114	-0.520231	-0.166137	2.14986	0.201	-0.254576	0.0	0.507
101509675700	-2.6828	0.0149094	0.0149094	-0.971257	-0.990821	-1.01798	1.83408	0.001	-0.0440114	1.50283	0.292
091902597200	-1.9558	0.217109	0.217109	-1.13111	-1.17564	-1.02961	1.64662	-0.262	0.276331	0.751416	0.722
062494876300	-4.0339	1.14871	1.14871	-0.62036	-0.596864	-0.943444	2.29431	0.484	0.51486	0.0	0.814
049795434700	-3.3263	0.944509	0.944509	-0.469719	-0.467919	-0.51718	2.1775	0.016	-0.107024	0.0	0.699
015588036000	-4.492	1.18581	1.18581	-0.193175	-0.170486	-0.0706431	2.60959	1.03	0.30504	0.751416	0.722
290312388700	-2.6445	0.228409	0.228409	-1.09686	-1.07181	-0.890374	1.95214	-0.018	0.144827	1.50283	0.914
290344558600	-4.2091	0.684409	0.684409	-1.03507	-0.98432	-0.932382	1.91362	0.177	0.194517	0.0	0.599
271145553200	-4.0463	-0.690791	-0.690791	-1.46992	-1.49842	-0.641431	1.46637	-0.418	0.0504186	0.0	0.776
447994370000	-2.4829	0.752009	0.752009	-0.189941	-0.151159	-0.636348	2.02567	-0.056	-0.0565902	0.0	0.699
523226398600	-3.0787	0.814909	0.814909	-0.362312	-0.353244	-0.551745	1.96989	0.567	-0.0440114	0.0	0.699
479610126100	-2.9768	0.376809	0.376809	-0.788869	-0.801123	-0.827386	2.14462	0.468	-0.471445	1.50283	0.384
459971682200	-1.7666	1.41521	1.41521	-0.172611	-0.293372	-0.096324	2.24048	0.413	0.46517	1.50283	0.914
452520085900	-1.6623	0.700909	0.700909	-0.317008	-0.300837	0.221933	2.08836	0.359	0.38334	0.0	0.991
315834043400	-3.7222	1.36431	1.36431	-0.100957	-0.0737602	-0.531434	2.55133	0.757	-0.185325	0.0	0.622
436205474600	-2.9936	0.818809	0.818809	-0.758814	-0.684302	-0.724926	1.88961	0.009	0.0693173	0.751416	0.914
427809661200	-4.8008	0.204709	0.204709	-0.9081	-0.913197	-0.149423	2.12456	0.212	0.0027905	0.0	0.484
425440667700	-5.4351	-0.450091	-0.450091	-1.11771	-1.16914	-1.03858	1.41007	-0.563	-0.411982	1.50283	0.0
543244133100	-3.9694	0.239909	0.239909	-0.879258	-0.85883	-1.31707	1.7073	-0.522	-0.109815	0.751416	0.407
417061911500	-3.174	0.336309	0.336309	-0.881386	-0.914856	-0.588562	1.92423	0.305	-0.568681	0.751416	0.215
375381500800	-2.9779	0.559309	0.559309	-0.131233	-0.0496115	-0.304618	2.6452	1.082	0.179132	0.751416	0.699
364341086700	-1.7185	1.04741	1.04741	0.122792	0.253691	0.159555	2.69667	1.077	0.420451	0.751416	0.699
351645889700	-4.4194	0.466809	0.466809	-0.867343	-0.885657	-0.853926	1.95101	-0.369	0.191711	0.0	0.799
348425038700	-2.9625	0.427409	0.427409	-0.891166	-0.967295	-0.752882	1.60032	-0.286	0.175582	0.751416	0.699
344747801100	-2.7312	0.503709	0.503709	-0.996361	-1.02004	-0.644881	2.09834	0.135	0.575067	0.0	0.699
332294394300	-2.8956	0.316809	0.316809	-0.72217	-0.680306	-0.0887076	1.85671	-0.082	-0.188854	0.751416	0.584
398233409200	-4.6256	-0.0328906	-0.0328906	-1.14866	-1.16648	-0.980076	1.58058	-0.113	0.131504	0.0	0.407
890573362200	-5.74081	0.4009	0.4009	-0.501088	-0.424096	-0.998232	2.26684	0.69	-0.467931	0.0	0.622
527245467500	-2.15421	1.1923	1.1923	-0.109552	-0.110554	-0.518907	2.49843	0.394	0.30504	0.751416	1.106
526402715800	-4.68051	0.5454	0.5454	-0.704	-0.689389	-0.716496	2.17422	0.363	0.301526	0.0	0.484
516093346000	-2.42821	0.8391	0.8391	-0.538856	-0.496917	-0.611448	2.25711	0.474	0.30504	0.751416	0.699
