FID	IID	score.auto	score.grid.1	score.grid.2	score.grid.3	score.grid.4	score.grid.5	score.grid.6	score.grid.7	score.grid.8	score.grid.9	score.grid.10	score.grid.11	score.grid.12	score.grid.13	score.grid.14	score.grid.15	score.grid.16	score.grid.17	score.grid.18	score.grid.19	score.grid.20	score.grid.21	score.grid.22	score.grid.23	score.grid.24	score.grid.25	score.grid.26	score.grid.27	score.grid.28	score.grid.29	score.grid.30	score.grid.31	score.grid.32	score.grid.33	score.grid.34	score.grid.35	score.grid.36	score.grid.37	score.grid.38	score.grid.39	score.grid.40	score.grid.41	score.grid.42	score.grid.43	score.grid.44	score.grid.45	score.grid.46	score.grid.47	score.grid.48	score.grid.49	score.grid.50	score.grid.51	score.grid.52	score.grid.53	score.grid.54	score.grid.55	score.grid.56	score.grid.57	score.grid.58	score.grid.59	score.grid.60	score.grid.61	score.grid.62	score.grid.63	score.grid.64	score.grid.65	score.grid.66	score.grid.67	score.grid.68	score.grid.69	score.grid.70	score.grid.71	score.grid.72	score.grid.73	score.grid.74	score.grid.75	score.grid.76	score.grid.77	score.grid.78	score.grid.79	score.grid.80	score.grid.81	score.grid.82	score.grid.83	score.grid.84	score.grid.85	score.grid.86	score.grid.87	score.grid.88	score.grid.89	score.grid.90	score.auto.shaPRS	score.grid.9.shaPRS	score.grid.10.shaPRS	score.grid.11.shaPRS	score.grid.12.shaPRS	score.grid.13.shaPRS	score.grid.14.shaPRS	score.grid.15.shaPRS	score.grid.25.shaPRS	score.grid.26.shaPRS	score.grid.27.shaPRS	score.grid.28.shaPRS	score.grid.29.shaPRS	score.grid.30.shaPRS	score.grid.41.shaPRS	score.grid.42.shaPRS	score.grid.43.shaPRS	score.grid.44.shaPRS	score.grid.45.shaPRS	score.grid.54.shaPRS	score.grid.55.shaPRS	score.grid.56.shaPRS	score.grid.57.shaPRS	score.grid.58.shaPRS	score.grid.59.shaPRS	score.grid.60.shaPRS	score.grid.70.shaPRS	score.grid.71.shaPRS	score.grid.72.shaPRS	score.grid.73.shaPRS	score.grid.74.shaPRS	score.grid.75.shaPRS	score.grid.85.shaPRS	score.grid.86.shaPRS	score.grid.87.shaPRS	score.grid.88.shaPRS	score.grid.89.shaPRS	score.grid.90.shaPRS	prscs.phi1e+00	prscs.shaPRS.phi1e+00	prscsx.META.phi1e+00	prscsx.EAS.phi1e+00	prscsx.EUR.phi1e+00	prscs.phi1e-02	prscs.shaPRS.phi1e-02	prscsx.META.phi1e-02	prscsx.EAS.phi1e-02	prscsx.EUR.phi1e-02	prscs.phi1e-04	prscs.shaPRS.phi1e-04	prscsx.META.phi1e-04	prscsx.EAS.phi1e-04	prscsx.EUR.phi1e-04	prscs.phi1e-06	prscs.shaPRS.phi1e-06	prscsx.META.phi1e-06	prscsx.EAS.phi1e-06	prscsx.EUR.phi1e-06	prscs.phiauto	prscs.shaPRS.phiauto	prscsx.META.phiauto	prscsx.EAS.phiauto	prscsx.EUR.phiauto	PHENO
528135629300	528135629300	0.0359445	0.0961382	0.107856	0.0892444	0.0804795	0.0655225	0.0511099	0.0422616	0.0382582	0.0404958	0.0428507	0.0438473	0.0423665	0.0445572	0.0429822	0.0423544	0.0958291	0.100987	0.0832053	0.0834704	0.0847806	0.0551738	0.0584076	0.0484907	0.0556131	0.0563643	0.059816	0.0558953	0.0557476	0.0602923	0.0608731	0.0922721	0.0905155	0.0981267	0.0833075	0.0818052	0.0869218	0.0692766	0.0735107	0.075061	0.0752327	0.070669	0.0723678	0.0792337	0.0782968	0.0754449	0.087884	0.100832	0.0794394	0.0621758	0.0680175	0.0370809	0.035237	0.0340346	0.0368836	0.0367981	0.0398061	0.0409352	0.0415684	0.0413228	0.0424747	0.0935507	0.11074	0.0921039	0.0712323	0.0706657	0.0794589	0.0459369	0.0511437	0.0487732	0.0509901	0.0547718	0.0557908	0.057036	0.0584585	0.0573536	0.0872515	0.0950817	0.0952225	0.0686416	0.075813	0.0637099	0.0666386	0.0652251	0.0596212	0.0655095	0.072735	0.0740513	0.0777105	0.0757174	0.0788318	0.133271	0.098424	0.0855768	0.0731702	0.0773846	0.0712683	0.127845	0.103689	0.0619766	0.13536	0.104132	0.0958799	0.0852723	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	0.0890705	-0.722608	0.419731	0.355311	-0.637021	0.86046	-0.0770318	0.154476	0.20138	-0.0854354	0.357729	0.0948244	0.061623	0.0247202	0.0549471	0.00348488	-0.0202912	0.00253536	0.000335442	0.0144182	-0.00821665	0.0389118	0.064648	0.00686991	0.0439819	-0.00834047	1
523356521500	523356521500	0.0112516	-0.015133	-0.031435	-0.0337572	-0.021387	-0.000762442	0.00854754	0.014217	0.0150552	0.0137264	0.0114667	0.0126178	0.00869904	0.00900076	0.00778165	0.00678765	-0.0139402	-0.0214376	-0.0373301	-0.0105428	0.0193582	0.0138918	0.0196814	0.0209136	0.0182347	0.0138795	0.0133604	0.0125214	0.00950884	0.0154804	0.0140974	-0.0115035	-0.0290456	-0.0324317	-0.0252653	0.0153373	0.0540075	0.0601493	0.0427122	0.0283491	0.0219502	0.0171904	0.01564	0.0210203	0.0172283	0.0116686	-0.0155332	-0.0291268	-0.0330077	-0.0187985	0.00747453	0.0119168	0.0195831	0.0245183	0.025099	0.0237613	0.0241259	0.0240064	0.0235643	0.0243139	0.0257259	-0.0142814	-0.112119	-0.0321994	-0.0632398	-0.00182841	0.0448883	0.0284616	0.0394725	0.0349839	0.0291856	0.0315545	0.0330585	0.0362414	0.0348864	0.0303908	-0.0116131	-0.0234762	-0.0335036	-0.02501	0.0321819	0.0526491	0.0537542	0.0503924	0.0470438	0.0441513	0.0453424	0.0402131	0.0446394	0.040116	0.0451805	0.212259	0.14084	0.102141	0.0979037	0.110187	0.0985218	0.207349	0.178899	0.127007	0.257965	0.20796	0.187043	0.18312	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	0.18835	-0.327771	0.338621	0.418993	-0.188973	0.802877	-0.0392371	0.283106	0.276568	-0.0271591	0.498886	0.0239378	0.0629905	0.0367746	0.0452646	0.0492185	-0.000477535	0.0128922	-0.00159039	0.0161665	0.000932964	0.131195	0.10026	0.0262283	-0.00622515	0.0509416	1
564652905200	564652905200	0.00317236	0.101231	0.122092	0.116559	0.108267	0.0716011	0.0231157	0.00630531	0.00243808	0.00280252	0.00640173	0.0060922	0.00556685	0.00506638	0.00552952	0.00492567	0.100133	0.115298	0.109881	0.119501	0.0999852	0.0401566	0.0209685	0.00542292	0.00840521	0.00868596	0.0105122	0.00630988	0.00383371	0.0124119	0.00963167	0.0958036	0.103863	0.126836	0.129517	0.124568	0.0909483	0.0434041	0.0218238	0.0149352	0.0147201	0.0138445	0.0121751	0.013644	0.012472	0.0140518	0.0933883	0.115334	0.108747	0.0928917	0.0776231	0.0113803	0.00358194	-0.00183842	-0.00062337	-0.000953968	-0.001914	-5.11292e-05	-0.000838896	-0.000797766	0.000724319	0.0977203	0.106235	0.12312	0.118413	0.0984775	0.0697669	0.0125708	0.00716754	0.00046617	-0.00106877	0.00093314	0.000726279	0.00173599	0.00216774	-0.00224132	0.0915338	0.109215	0.124228	0.122592	0.126364	0.0959235	0.0343044	0.00961604	0.00182911	0.00348452	0.00217832	0.00297063	0.000221333	-0.00051164	-0.00108572	0.184961	0.173024	0.173048	0.176603	0.174822	0.180425	0.228649	0.247001	0.136596	0.205359	0.188666	0.181483	0.184525	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.188894	0.263092	0.603141	0.577971	0.314415	1.02868	0.164557	0.361194	0.308891	0.177504	0.487046	0.0585662	0.0849387	0.0802689	0.07464	0.0762594	-0.00817861	0.00218495	0.00184648	-0.000677275	-0.00210068	0.074714	0.0759945	0.0190354	0.014859	0.0165665	1
821238176700	821238176700	0.0513863	0.0983181	0.113222	0.10028	0.104987	0.105822	0.0933543	0.0780334	0.0659699	0.0602867	0.057036	0.05721	0.0534531	0.0547225	0.0537841	0.054396	0.0980353	0.10566	0.0951503	0.10386	0.116831	0.114607	0.11561	0.0948332	0.087907	0.0795653	0.0803388	0.07863	0.0738431	0.0798536	0.0798271	0.0939031	0.0946154	0.10725	0.108285	0.131148	0.166472	0.15197	0.138242	0.126557	0.11196	0.110912	0.101425	0.103726	0.103885	0.103659	0.090192	0.106609	0.0930388	0.0880082	0.111813	0.0796929	0.0724069	0.0531804	0.0456213	0.0428503	0.0414478	0.0419312	0.0409312	0.040932	0.0412311	0.0956061	0.030337	0.10364	0.0609516	0.122914	0.134297	0.102026	0.0888123	0.066515	0.0602101	0.0601931	0.0606054	0.06179	0.0640406	0.0587446	0.0888543	0.0992683	0.106135	0.0910846	0.140333	0.16031	0.150903	0.132289	0.0988887	0.089126	0.0830096	0.0849435	0.0836709	0.0821511	0.0839284	-0.000512539	-0.0359205	-0.0431973	-0.0396492	-0.0418027	-0.038175	-0.0381535	-0.0354817	0.047175	0.0719362	0.0605962	0.0582559	0.0628992	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.0581394	0.499825	-0.0811751	-0.349769	0.608364	-0.566728	0.255806	0.0939216	-0.0393138	0.290126	-0.10959	0.142694	0.0792667	0.0116684	0.105564	-0.0216567	0.0110134	-0.000155052	-0.00057168	0.00694427	-0.0101513	0.153157	0.0694493	-0.00881794	0.0570911	-0.0348064	1
504199785800	504199785800	0.0480324	0.118962	0.243803	0.357696	0.394099	0.315316	0.167843	0.0912184	0.0638242	0.0572881	0.0530067	0.0509229	0.0482989	0.0512538	0.0479295	0.0478477	0.107762	0.237035	0.378713	0.470405	0.453634	0.311259	0.169546	0.103685	0.0897117	0.0802025	0.0759907	0.0735126	0.0709749	0.0739918	0.0722301	0.0965272	0.223488	0.384656	0.505909	0.555695	0.467874	0.301723	0.179312	0.136455	0.116032	0.110434	0.10434	0.105209	0.102342	0.106352	0.118612	0.242639	0.358382	0.405458	0.320343	0.161441	0.0829996	0.0512217	0.0428337	0.0375135	0.0362943	0.0382566	0.0351726	0.0370827	0.0383426	0.107668	0.234592	0.375511	0.465906	0.452616	0.313901	0.156513	0.0930826	0.0666388	0.0580863	0.0564279	0.0570903	0.0559603	0.0578415	0.0510095	0.0967521	0.222561	0.383996	0.501871	0.557199	0.478295	0.296038	0.15574	0.101667	0.0930304	0.0860745	0.0804292	0.0799659	0.0789018	0.0792911	0.0309039	0.0119984	0.00207711	-0.00122245	-0.00513607	0.00296375	0.0108862	0.0237002	0.0175133	0.0594188	0.0359014	0.0333369	0.0282379	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	0.0213407	2.00084	0.45256	0.18916	2.02487	-0.252489	0.966347	0.287702	0.119731	0.8938	0.0186495	0.152035	0.052052	-5.4e-05	0.169158	-0.020917	0.000553129	-0.00212199	-0.0112356	0.00827384	-0.0128405	0.234901	0.05064	-0.00136752	0.120086	-0.00959954	1
487162533100	487162533100	0.0816865	0.132773	0.201666	0.261282	0.32172	0.321424	0.224887	0.14988	0.110232	0.0961492	0.0922669	0.0907871	0.0862869	0.0879157	0.087832	0.086754	0.128557	0.178409	0.256006	0.351682	0.401222	0.3418	0.244989	0.173553	0.143722	0.132077	0.126874	0.124672	0.121276	0.12791	0.125741	0.119731	0.168622	0.26283	0.377	0.482974	0.497988	0.376782	0.26915	0.220973	0.197074	0.181505	0.176009	0.176228	0.173299	0.177916	0.125115	0.189517	0.248536	0.311349	0.313235	0.208183	0.137656	0.0939781	0.0844146	0.0769502	0.0747638	0.0766256	0.0750559	0.0753887	0.0752618	0.126184	0.173525	0.254411	0.357067	0.415752	0.339572	0.229451	0.156083	0.126555	0.11286	0.110515	0.110351	0.111453	0.10927	0.106458	0.115125	0.168937	0.255531	0.373355	0.48974	0.500296	0.379832	0.244234	0.189456	0.170653	0.159324	0.154691	0.155862	0.151678	0.153014	0.206962	0.24947	0.256429	0.254747	0.25733	0.262332	0.321272	0.352918	0.18359	0.209124	0.24957	0.254636	0.257296	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.259405	0.750023	0.589965	0.877343	0.803666	1.1061	0.732847	0.405916	0.444894	0.665482	0.479995	0.269421	0.113523	0.0780361	0.181925	0.0673875	0.0196181	0.000351039	-0.0144088	0.0112047	-0.00711448	0.307002	0.132257	0.0114681	0.103176	0.00284578	1
620715235700	620715235700	0.0634785	0.00444383	0.0160436	0.0375294	0.0650243	0.0873529	0.0740032	0.0725677	0.0710486	0.074868	0.0774873	0.0790871	0.0793789	0.0806629	0.0781761	0.0790191	0.00354913	0.0151876	0.0372765	0.0843069	0.115803	0.124797	0.110749	0.101789	0.107124	0.108233	0.111003	0.111659	0.107149	0.111897	0.114504	0.00313401	0.013035	0.039168	0.090391	0.156492	0.170519	0.169162	0.150687	0.147495	0.145052	0.151698	0.153487	0.154541	0.159038	0.158479	0.0043584	0.0147033	0.0360958	0.0708607	0.0746973	0.047337	0.0366411	0.0284084	0.0283425	0.0268003	0.0280554	0.028899	0.0276467	0.0277256	0.0300159	0.00356158	-0.00503009	0.0359331	0.0781698	0.108784	0.107071	0.0675634	0.0491957	0.0380432	0.0367414	0.0405883	0.0403444	0.0405967	0.0412521	0.0381149	0.0030614	0.0109414	0.0372006	0.0804045	0.158635	0.165783	0.11283	0.0683853	0.0606246	0.057823	0.0574888	0.0542273	0.0549482	0.0542576	0.0528079	0.218304	0.237834	0.23263	0.227633	0.223668	0.226268	0.315419	0.306481	0.164962	0.247856	0.246826	0.23308	0.229062	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	0.233235	-0.311036	0.403179	0.217024	-0.241647	1.26551	0.216163	0.329411	0.239915	0.195195	0.542196	0.184043	0.112351	0.0654054	0.12929	0.0742991	0.0135948	-0.00559091	0.000859423	0.00991292	0.0075023	0.15965	0.111931	0.016367	0.0838378	0.0412962	1
974898810300	974898810300	0.0845045	0.238439	0.330962	0.36694	0.390763	0.353226	0.242325	0.152741	0.109403	0.0993061	0.0939024	0.0931355	0.0905693	0.0918198	0.0913114	0.0899511	0.233482	0.290537	0.360094	0.419165	0.430401	0.330595	0.245929	0.167896	0.146751	0.135991	0.133582	0.128218	0.127706	0.13309	0.13219	0.218905	0.276172	0.376018	0.442705	0.48154	0.429941	0.336137	0.251671	0.212653	0.193096	0.188398	0.184455	0.184671	0.181823	0.182355	0.223176	0.307695	0.345234	0.365498	0.336352	0.212767	0.139606	0.0955118	0.0823784	0.0765707	0.0752957	0.0765938	0.0749873	0.0747673	0.075374	0.228693	0.320465	0.358323	0.415892	0.426867	0.32794	0.226478	0.15407	0.120525	0.110764	0.107765	0.108231	0.109774	0.109189	0.105869	0.209726	0.279186	0.366102	0.437913	0.47865	0.422336	0.332996	0.234396	0.180871	0.162612	0.154455	0.151144	0.153148	0.15301	0.150539	0.213895	0.226985	0.231458	0.235238	0.230404	0.239613	0.28835	0.324926	0.167653	0.234713	0.231106	0.238073	0.234076	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.234867	0.604888	0.297848	0.637601	0.722997	0.988144	0.479821	0.343809	0.385017	0.589513	0.466866	0.171262	0.139897	0.0886218	0.191314	0.073056	0.0138713	0.0142962	-0.00182236	0.0307452	-0.014946	0.191563	0.0971256	0.0220723	0.113377	0.0125442	1
636096064500	636096064500	-0.0768768	0.233888	0.394674	0.522213	0.554576	0.393005	0.125687	-0.0235995	-0.0764434	-0.0936221	-0.098747	-0.100662	-0.103807	-0.101781	-0.103879	-0.103181	0.220821	0.379372	0.540082	0.64509	0.568674	0.297287	0.041491	-0.0856215	-0.120962	-0.139085	-0.140771	-0.147148	-0.14743	-0.146427	-0.145232	0.203271	0.353744	0.560874	0.699626	0.727351	0.543328	0.170048	-0.0655469	-0.144786	-0.18016	-0.199455	-0.207652	-0.204953	-0.204726	-0.209356	0.226092	0.389347	0.516979	0.548631	0.410089	0.134091	0.00447939	-0.0443036	-0.0573808	-0.0632312	-0.0654343	-0.0616156	-0.0642487	-0.064201	-0.06333	0.218889	0.344612	0.551595	0.611062	0.593745	0.336567	0.0710041	-0.03599	-0.0746364	-0.0848403	-0.0885381	-0.0868041	-0.0859953	-0.0871506	-0.0881465	0.198543	0.359288	0.561217	0.704091	0.744307	0.549839	0.219836	-0.0106325	-0.0867149	-0.107352	-0.115709	-0.124331	-0.120207	-0.126015	-0.124077	-0.0359727	-0.040435	-0.0519533	-0.0413226	-0.0394868	-0.0467225	-0.0727586	-0.0492172	0.0126119	-0.00704983	0.00856332	-0.000857974	0.0130211	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	0.00865856	-0.72873	-0.110855	0.130487	-0.843103	0.517287	-0.229929	-0.0107063	0.143739	-0.272863	0.368606	-0.0311374	0.0481184	0.0154711	-0.0638261	0.0527901	-0.0223366	-0.00871833	-0.00734388	-0.0213261	0.000936558	-0.0147814	0.0548642	-0.000698317	-0.0246077	0.0438585	1
826567894900	826567894900	0.0758976	0.2357	0.323013	0.371052	0.419463	0.365026	0.233422	0.137033	0.0970533	0.0873203	0.0873559	0.0883797	0.08571	0.088788	0.0870309	0.0862621	0.230912	0.29178	0.359298	0.445949	0.467983	0.329482	0.229641	0.144144	0.127828	0.120907	0.122598	0.120898	0.119085	0.123166	0.125736	0.217386	0.271205	0.380845	0.471347	0.544163	0.501024	0.326468	0.222125	0.195386	0.174587	0.172876	0.164209	0.171036	0.168778	0.170159	0.220114	0.305565	0.347546	0.381579	0.343285	0.19521	0.102047	0.056421	0.0419066	0.0373146	0.034814	0.0358569	0.0338697	0.0352631	0.035794	0.226205	0.322483	0.371003	0.435857	0.462224	0.34051	0.185499	0.0994744	0.0634312	0.0547059	0.0516639	0.0503868	0.0500172	0.0510224	0.0479265	0.207497	0.278716	0.372457	0.462676	0.54246	0.441082	0.29099	0.162626	0.103016	0.0838032	0.0734873	0.0678966	0.0703953	0.0664515	0.0691543	0.175915	0.123067	0.122924	0.112904	0.107832	0.105495	0.172005	0.163426	0.122663	0.206387	0.188252	0.171985	0.171288	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.175895	0.0649758	0.31463	0.0209901	0.0708801	0.537011	0.271416	0.27576	0.146741	0.422082	0.216728	0.168227	0.103717	0.0383828	0.13354	0.0194207	0.0219992	0.0018423	0.0117707	0.0372405	-0.00755005	0.206154	0.101597	0.0253052	0.108577	0.0211683	1
