FID	IID	score.auto	score.grid.1	score.grid.2	score.grid.3	score.grid.4	score.grid.5	score.grid.6	score.grid.7	score.grid.8	score.grid.9	score.grid.10	score.grid.11	score.grid.12	score.grid.13	score.grid.14	score.grid.15	score.grid.16	score.grid.17	score.grid.18	score.grid.19	score.grid.20	score.grid.21	score.grid.22	score.grid.23	score.grid.24	score.grid.25	score.grid.26	score.grid.27	score.grid.28	score.grid.29	score.grid.30	score.grid.31	score.grid.32	score.grid.33	score.grid.34	score.grid.35	score.grid.36	score.grid.37	score.grid.38	score.grid.39	score.grid.40	score.grid.41	score.grid.42	score.grid.43	score.grid.44	score.grid.45	score.grid.46	score.grid.47	score.grid.48	score.grid.49	score.grid.50	score.grid.51	score.grid.52	score.grid.53	score.grid.54	score.grid.55	score.grid.56	score.grid.57	score.grid.58	score.grid.59	score.grid.60	score.grid.61	score.grid.62	score.grid.63	score.grid.64	score.grid.65	score.grid.66	score.grid.67	score.grid.68	score.grid.69	score.grid.70	score.grid.71	score.grid.72	score.grid.73	score.grid.74	score.grid.75	score.grid.76	score.grid.77	score.grid.78	score.grid.79	score.grid.80	score.grid.81	score.grid.82	score.grid.83	score.grid.84	score.grid.85	score.grid.86	score.grid.87	score.grid.88	score.grid.89	score.grid.90	score.auto.shaPRS	score.grid.12.shaPRS	score.grid.13.shaPRS	score.grid.14.shaPRS	score.grid.15.shaPRS	score.grid.28.shaPRS	score.grid.29.shaPRS	score.grid.30.shaPRS	score.grid.44.shaPRS	score.grid.45.shaPRS	score.grid.57.shaPRS	score.grid.58.shaPRS	score.grid.59.shaPRS	score.grid.60.shaPRS	score.grid.73.shaPRS	score.grid.74.shaPRS	score.grid.75.shaPRS	score.grid.89.shaPRS	score.grid.90.shaPRS	prscs.phi1e+00	prscs.shaPRS.phi1e+00	prscsx.META.phi1e+00	prscsx.EAS.phi1e+00	prscsx.EUR.phi1e+00	prscs.phi1e-02	prscs.shaPRS.phi1e-02	prscsx.META.phi1e-02	prscsx.EAS.phi1e-02	prscsx.EUR.phi1e-02	prscs.phi1e-04	prscs.shaPRS.phi1e-04	prscsx.META.phi1e-04	prscsx.EAS.phi1e-04	prscsx.EUR.phi1e-04	prscs.phi1e-06	prscs.shaPRS.phi1e-06	prscsx.META.phi1e-06	prscsx.EAS.phi1e-06	prscsx.EUR.phi1e-06	prscs.phiauto	prscs.shaPRS.phiauto	prscsx.META.phiauto	prscsx.EAS.phiauto	prscsx.EUR.phiauto	SBayesRC	PRSice2.0.1	PRSice2.0.4	PRSice2.0.7	PRSice2.0.9	PGS002763	PGS002767	PGS004478	PGS004479	PGS004548	PGS004549	PGS004882	PGS004883	PGS002094	PGS001882	PGS001192	PGS000967	PGS001290	PGS002750	PGS002728	PGS002749	PGS002729	PHENO
482363428800	482363428800	-0.238569	0.107599	0.284629	0.549898	0.853987	0.767895	0.0114354	-0.806675	-1.47441	-1.85819	-2.01486	-2.11595	-2.14882	-2.16278	-2.16469	-2.19044	0.0913767	0.259488	0.589597	0.980523	1.12949	0.470681	-0.662236	-1.75185	-2.42037	-2.7791	-2.94177	-3.01866	-3.06217	-3.05005	-3.10696	0.0819067	0.22767	0.543201	1.03718	1.33599	0.972253	-0.238542	-1.88735	-3.0733	-3.63605	-4.00491	-4.12601	-4.20083	-4.22602	-4.25184	0.116639	0.309455	0.640171	0.998759	1.01147	0.418228	-0.293224	-0.872929	-1.16188	-1.28147	-1.34887	-1.37342	-1.39741	-1.39218	-1.38308	0.101717	0.278525	0.626518	1.1178	1.35937	0.90673	0.00415618	-0.941647	-1.49958	-1.7562	-1.86681	-1.90901	-1.9579	-1.95216	-1.94666	0.0865897	0.252697	0.585861	1.18494	1.56595	1.44001	0.49569	-0.834369	-1.80032	-2.27097	-2.50373	-2.61701	-2.66506	-2.65571	-2.6712	0.283584	0.426447	0.445622	0.578685	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.579187	0.0815326	1.97687	-0.170705	-0.233267	0.00337425	3.08976	0.626895	-0.119103	-0.712393	0.0317935	2.65731	0.114091	0.074475	-0.259948	0.11049	-0.341784	-0.0331456	0.130666	0.121659	0.137302	4.53686	0.275835	-0.366138	4.24264	0.232132	0.0482532458832	-630.734405	54.8980388	181.502048	-4269.12414	0.0662583	0.186136	-0.201231	0.170403	-0.00820318	0.0266521	0.000910956	0.389246	0.0348048	0.472945	0.369434	-0.148601	-0.042471	0.463874	1.897	0.33035	0.809	1
278706868800	278706868800	-0.191044	0.11739	0.323752	0.701864	1.21171	1.3142	0.567544	-0.362304	-1.08185	-1.45688	-1.62423	-1.70018	-1.7306	-1.75573	-1.75624	-1.77127	0.0997556	0.298898	0.709976	1.33471	1.86755	1.30714	0.0596514	-1.16736	-1.89528	-2.22629	-2.36309	-2.44818	-2.46069	-2.47751	-2.50105	0.0889376	0.257723	0.654157	1.37217	2.16228	2.09361	0.815022	-1.02447	-2.28392	-2.91322	-3.22713	-3.34934	-3.37554	-3.42292	-3.47029	0.125323	0.342924	0.762138	1.32209	1.49904	0.85324	0.00996539	-0.648028	-0.949438	-1.07273	-1.14031	-1.16908	-1.17776	-1.18344	-1.17758	0.108311	0.309729	0.755171	1.43052	1.96996	1.61177	0.533926	-0.579921	-1.19193	-1.45684	-1.57274	-1.62299	-1.65664	-1.67229	-1.67838	0.0936456	0.278569	0.6831	1.49745	2.35394	2.45491	1.31063	-0.282595	-1.36502	-1.88401	-2.10917	-2.22637	-2.26126	-2.28198	-2.28444	0.234101	0.382616	0.393333	0.562278	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	0.494336	6.62259	0.0857545	0.0545491	0.551816	0.450692	7.22498	0.0276219	-0.27847	0.065032	-0.0972672	5.05267	0.0418746	-0.112032	-0.0658071	-0.0474977	0.0155081	0.00107221	0.00420898	0.0805726	0.0278627	7.63721	0.120397	0.19557	6.70993	0.227802	0.184563125426	-578.583748	67.9685296	187.249295	-3467.56806	0.124127	0.0795676	-0.0262572	0.267201	-0.00329632	0.0214001	0.024441	0.1916	0.0203805	0.0140366	-0.140846	-0.219416	-0.0817182	-0.0405589	1.866	-0.16247	0.425	1
853435767400	853435767400	-0.230334	0.21805	0.548693	1.07078	1.64125	1.64405	0.714603	-0.396463	-1.2674	-1.73185	-1.94312	-2.05044	-2.10155	-2.10955	-2.12764	-2.14479	0.190534	0.5074	1.08793	1.82565	2.24649	1.60215	0.101226	-1.37146	-2.21426	-2.6562	-2.8448	-2.9491	-2.9862	-2.98555	-3.00847	0.167417	0.456567	1.01632	1.88621	2.64189	2.40844	0.870834	-1.19223	-2.72945	-3.43191	-3.85598	-4.03267	-4.12542	-4.13767	-4.16112	0.226333	0.579019	1.15974	1.78195	1.88321	1.13819	0.0750836	-0.668736	-1.05041	-1.21852	-1.30197	-1.34914	-1.36066	-1.36168	-1.35884	0.199452	0.532003	1.13441	1.89611	2.54078	2.02679	0.727444	-0.577866	-1.31588	-1.64039	-1.79351	-1.8704	-1.90568	-1.92484	-1.91902	0.172245	0.478177	1.08287	2.10508	2.84133	2.85579	1.60468	-0.201525	-1.47778	-2.11293	-2.40839	-2.52992	-2.59439	-2.62294	-2.62923	0.306213	0.41198	0.408335	0.574281	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	0.521725	-12.0009	0.496512	-1.1673	-0.589814	-1.18788	-0.00988348	0.268642	-0.463264	-0.2835	-0.424284	3.78991	0.165913	-0.124251	-0.161884	-0.109529	0.0529963	0.0195271	-0.0467614	-0.073129	-0.0428979	4.74623	0.273063	-0.0909919	3.96084	0.385428	0.02847715464168	-609.513866	106.851482	188.53322	-4064.19618	0.164889	0.0739073	0.142833	0.229437	0.0132161	0.0227071	0.00110696	0.247495	0.0301656	0.0922981	-0.0447169	-0.0497952	-0.128423	0.125933	1.376	0.220825	0.706	1
756019926700	756019926700	-0.173405	0.262802	0.692759	1.35843	2.0421	2.14091	1.05452	-0.0883998	-0.903309	-1.29462	-1.45917	-1.54748	-1.58399	-1.59054	-1.6105	-1.62085	0.226347	0.639077	1.4003	2.33029	2.83414	2.07884	0.518419	-0.88236	-1.64002	-1.96495	-2.149	-2.24166	-2.27143	-2.26565	-2.29481	0.201812	0.564979	1.31177	2.40981	3.24887	3.07303	1.48666	-0.581697	-1.96662	-2.57591	-2.90278	-3.02199	-3.10959	-3.13941	-3.15184	0.2721	0.713409	1.44077	2.19007	2.31695	1.35915	0.264835	-0.501679	-0.834599	-0.970289	-1.02953	-1.06372	-1.07847	-1.07179	-1.07691	0.237888	0.64758	1.44778	2.42774	3.00077	2.39718	0.982236	-0.328531	-1.03292	-1.28647	-1.42113	-1.46883	-1.51389	-1.52318	-1.51511	0.204185	0.587325	1.34476	2.55991	3.50054	3.44937	2.04815	0.128829	-1.09656	-1.64524	-1.89109	-2.02066	-2.05566	-2.08166	-2.08904	0.301629	0.382983	0.377992	0.590735	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	0.530048	8.51814	1.13155	-1.01837	-0.73838	-1.15207	6.96247	0.371039	-0.304931	-0.361508	-0.250755	5.46689	0.104746	-0.0257975	-0.0692156	0.0187753	-0.199347	0.0380295	0.0422519	0.0959774	0.0379187	6.92961	0.236782	-0.500236	6.09524	0.149898	0.3337334260604	-633.850163	76.8869252	226.391896	-3366.19296	0.0434262	-0.0528861	-0.14516	-0.190442	-0.0132567	0.00533791	0.051475	0.234268	0.0207555	0.275319	-0.148671	0.0894923	-0.00488316	0.549268	1.898	0.232596	0.917	1
901169754100	901169754100	-0.167148	0.146432	0.391428	0.814328	1.35477	1.48326	0.80726	-0.088488	-0.8296	-1.21998	-1.4057	-1.51629	-1.55658	-1.56045	-1.57573	-1.58625	0.126682	0.351803	0.831693	1.44455	1.98724	1.55687	0.425472	-0.807006	-1.52251	-1.91437	-2.10786	-2.18237	-2.24156	-2.23157	-2.27426	0.110202	0.320855	0.768069	1.51835	2.32657	2.34668	1.19044	-0.562114	-1.82288	-2.47686	-2.85349	-2.99181	-3.0693	-3.10656	-3.16532	0.152407	0.417671	0.886569	1.45169	1.65415	1.16138	0.339332	-0.271389	-0.585815	-0.730763	-0.801058	-0.833127	-0.845054	-0.850401	-0.843198	0.133955	0.372873	0.85088	1.57522	2.22802	1.96253	0.966457	-0.0790329	-0.689347	-0.961125	-1.09646	-1.15367	-1.18784	-1.19021	-1.21077	0.114178	0.333605	0.832264	1.67172	2.55789	2.72428	1.78943	0.322515	-0.680415	-1.21385	-1.46151	-1.58058	-1.65728	-1.63738	-1.65184	0.173167	0.269342	0.301883	0.382219	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	0.336176	5.44444	0.447979	-2.40768	-2.49596	-2.23675	6.06396	0.217968	-1.08723	-1.22209	-1.00687	4.86798	0.122862	-0.237777	-0.509201	-0.218039	0.187104	-0.0265409	-0.055122	-0.185984	-0.0525654	8.15131	0.227432	0.10673	7.05242	0.113799	0.0973093895276	-666.801369	42.5895567	186.453043	-3855.26906	0.0537585	0.0325342	-0.402009	0.105578	-0.0205853	0.0164175	0.010059	0.28688	0.0133304	0.0725953	0.125788	0.0426301	-0.0949107	0.257796	2.184	0.220914	0.69	1
411731004100	411731004100	-0.217634	0.109634	0.298929	0.659637	1.19013	1.31859	0.681008	-0.287656	-1.13089	-1.60968	-1.81084	-1.91978	-1.98925	-1.98641	-1.98601	-2.01087	0.0944189	0.27263	0.662467	1.24191	1.83008	1.42096	0.197573	-1.17622	-2.00693	-2.46303	-2.67158	-2.77194	-2.81968	-2.82339	-2.85494	0.0820846	0.237762	0.61242	1.30088	2.10518	2.13899	0.970794	-0.995392	-2.39949	-3.16037	-3.58822	-3.75281	-3.83187	-3.88004	-3.91785	0.117472	0.325431	0.739542	1.31164	1.57513	1.02492	0.183794	-0.536517	-0.938408	-1.10606	-1.191	-1.23935	-1.25651	-1.26552	-1.25926	0.102676	0.294982	0.68225	1.37657	2.10588	1.82337	0.796611	-0.376515	-1.11638	-1.47722	-1.64462	-1.70494	-1.76807	-1.76389	-1.77598	0.0869098	0.258631	0.652107	1.4896	2.2781	2.65946	1.6729	0.0324549	-1.21153	-1.83836	-2.18514	-2.32705	-2.39132	-2.40798	-2.41596	0.322502	0.440594	0.441569	0.65672	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	0.60572	2.0239	1.32649	-0.986376	0.0425017	-1.16844	4.73437	0.589127	-0.513283	0.189353	-0.505846	5.20295	0.18243	-0.103374	-0.0192686	-0.102553	0.0992209	-0.0134442	-0.00834493	-0.0942802	-0.0130204	7.53186	0.334577	0.805244	6.96477	0.301576	0.1644113011848	-576.787398	157.973741	348.813522	-3708.77274	0.155612	0.0960489	-0.123413	0.0762154	-0.00838966	0.0172866	0.081122	0.271562	0.0135614	-0.0621142	-0.14421	-0.061507	-0.0605781	0.165886	1.869	0.0911564	0.55	1
065000162600	065000162600	-0.223165	0.158028	0.423934	0.872066	1.361	1.27107	0.357408	-0.617826	-1.37863	-1.7421	-1.90948	-1.99599	-2.04096	-2.03938	-2.05191	-2.06672	0.138495	0.390558	0.876536	1.50239	1.83304	1.04666	-0.324745	-1.59705	-2.28138	-2.62616	-2.80278	-2.88539	-2.88954	-2.88728	-2.95258	0.120529	0.346524	0.829453	1.5918	2.18987	1.77551	0.321846	-1.60374	-2.86643	-3.46203	-3.78548	-3.93959	-4.02267	-4.03569	-4.05746	0.165533	0.44413	0.935184	1.45775	1.48667	0.692683	-0.170884	-0.772282	-1.07692	-1.20773	-1.26179	-1.29119	-1.30219	-1.30795	-1.30028	0.144823	0.405753	0.917238	1.62947	2.08207	1.44366	0.253309	-0.808159	-1.39023	-1.64108	-1.74391	-1.80318	-1.83325	-1.85412	-1.83237	0.124193	0.365312	0.874527	1.69168	2.41498	2.26956	0.973373	-0.652342	-1.65899	-2.12952	-2.35593	-2.49196	-2.50261	-2.51107	-2.54624	0.30698	0.440134	0.425224	0.689481	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	0.577834	5.00013	0.356869	-0.450597	-0.256436	-0.200183	4.03035	0.25419	-0.215117	-0.247616	-0.0953914	3.7135	0.211802	0.0610879	0.094976	0.111682	-0.086936	-0.0320128	0.194141	0.254571	0.193459	5.64583	0.272794	0.32255	4.87473	0.18897	-0.1065530497464	-587.749047	-92.7321306	126.919846	-4183.4595	0.0451796	0.0585562	-0.0963486	-0.150713	-0.00821979	0.00538286	-0.037733	0.317375	0.00604891	0.120564	0.0987466	-0.0271998	-0.0254785	0.0314477	1.856	0.214404	0.762	1
413508549100	413508549100	-0.17828	0.172723	0.433607	0.894519	1.41534	1.54505	0.825698	-0.103095	-0.868559	-1.29613	-1.49526	-1.59637	-1.64615	-1.65243	-1.67122	-1.67335	0.150637	0.403819	0.875403	1.54339	2.08546	1.6285	0.426076	-0.826416	-1.61461	-2.02978	-2.20767	-2.31372	-2.35799	-2.37361	-2.38875	0.132517	0.363205	0.822668	1.5655	2.42063	2.40239	1.29618	-0.526187	-1.87157	-2.5901	-3.01026	-3.14402	-3.25435	-3.26213	-3.29418	0.179055	0.46128	0.94238	1.51673	1.76655	1.18252	0.385919	-0.248713	-0.593411	-0.746294	-0.824496	-0.868469	-0.89149	-0.889726	-0.879227	0.15667	0.422444	0.930062	1.67444	2.31012	1.98228	1.06281	-0.0361145	-0.67515	-0.99331	-1.13623	-1.18855	-1.24164	-1.25515	-1.25681	0.1361	0.379873	0.871511	1.73177	2.57263	2.93036	2.04143	0.500395	-0.627335	-1.22719	-1.50275	-1.6366	-1.6722	-1.69542	-1.73323	0.0605318	0.00668524	0.0146143	0.0544218	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	0.0298207	3.47534	-0.17889	-1.02944	3.22971	-1.28843	7.49947	-0.203608	-0.469425	1.30503	-0.503882	7.02067	0.00766681	-0.123761	0.126932	-0.114612	-0.224891	-0.0811232	-0.0397201	0.120838	-0.0474076	8.74508	0.0338625	-0.382327	8.95202	-0.0255753	0.1941649661148	-565.392921	86.350354	235.251274	-3981.84326	0.190975	-0.113691	-0.163561	-0.219184	-0.00628109	-0.0146286	0.161774	0.0729541	0.017669	0.284287	0.0838855	-0.0400333	-0.201118	1.06799	1.587	0.197948	0.83	1
183033848900	183033848900	-0.227808	0.258983	0.627828	1.19375	1.73882	1.57358	0.522057	-0.63399	-1.40744	-1.77166	-1.94535	-2.02537	-2.05146	-2.07422	-2.07345	-2.0867	0.228496	0.59398	1.2016	1.91919	2.30803	1.38494	-0.215744	-1.61002	-2.34016	-2.67216	-2.82771	-2.91388	-2.9445	-2.92286	-2.96551	0.200987	0.537936	1.13656	2.00932	2.71433	2.21045	0.529102	-1.55392	-2.91613	-3.55331	-3.8561	-3.96694	-4.05496	-4.07797	-4.11406	0.266546	0.657675	1.24949	1.8022	1.7778	0.819224	-0.214232	-0.891731	-1.20164	-1.33677	-1.39621	-1.42403	-1.44417	-1.43335	-1.43708	0.235666	0.615178	1.27395	2.00494	2.52758	1.6951	0.319756	-0.94969	-1.57273	-1.81786	-1.94042	-1.97202	-2.01367	-2.02476	-2.03383	0.206932	0.555022	1.1949	2.1888	2.852	2.67569	1.18391	-0.700966	-1.8586	-2.40424	-2.62195	-2.71369	-2.76456	-2.77254	-2.7867	0.347771	0.534733	0.532066	0.712573	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	0.703766	-7.72902	0.943907	-0.211083	4.0938	-0.435272	0.875395	0.386599	-0.285766	0.900452	-0.245489	4.07891	0.183308	-0.0136507	-0.0620483	0.0308589	-0.127869	-0.0486764	0.056407	0.0788993	0.0609333	2.72623	0.269177	-0.180829	4.41194	0.260109	-0.02201245905204	-612.256819	36.611711	166.633033	-3882.65169	0.0785666	0.182358	-0.0792059	0.241296	0.00230672	0.0243796	-0.0312118	0.325284	0.0233684	0.170023	-0.0717786	0.0154721	-0.102545	0.372036	2.004	0.249405	0.568	1
557172579200	557172579200	-0.296696	0.186379	0.462743	0.893496	1.26032	1.08334	0.0936352	-1.00687	-1.85413	-2.32682	-2.52826	-2.6409	-2.68531	-2.70026	-2.71784	-2.71936	0.165454	0.43262	0.896459	1.39729	1.5452	0.747275	-0.771881	-2.20159	-3.04558	-3.47456	-3.70067	-3.79205	-3.81821	-3.83356	-3.85672	0.1445	0.389613	0.847892	1.45577	1.89847	1.32512	-0.327688	-2.36682	-3.82836	-4.61017	-4.99578	-5.16258	-5.30437	-5.305	-5.3469	0.197419	0.489474	0.964473	1.37684	1.34038	0.578987	-0.345338	-0.99695	-1.33156	-1.47594	-1.53855	-1.56396	-1.58462	-1.59026	-1.58338	0.173914	0.460428	0.948723	1.54095	1.88837	1.27741	0.0473764	-1.08101	-1.72206	-2.00914	-2.14336	-2.18904	-2.22951	-2.24	-2.23492	0.152267	0.419019	0.905328	1.64344	2.11801	1.98538	0.691287	-0.976849	-2.09286	-2.65363	-2.90393	-3.0156	-3.05336	-3.05936	-3.07629	0.488115	0.674775	0.659468	0.944829	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	0.889123	-5.93124	1.36879	0.0428107	2.11821	-0.269462	-1.6513	0.68015	0.0054112	0.518372	-0.0094705	2.03629	0.269066	-0.028794	-0.170833	0.0282789	-0.23978	0.0150717	-0.0211159	-0.0753973	-0.00909144	2.5065	0.377114	5.94113e-06	1.5973	0.430015	-0.1444944164634	-701.638062	38.8231487	175.64116	-4355.28589	0.0799505	0.245524	0.0756815	0.191347	0.00808836	0.0167873	-0.0541498	0.40991	0.0414976	0.0847142	0.433069	-6.05339e-05	0.0704745	-0.00883068	2.257	0.156312	0.545	1
